Code~Character
0003~a
0046~b
0024~c
0015~d
0001~e
0026~f
0036~g
0014~h
0005~i
0126~j
0123~k
0016~l
0025~m
0006~n
0004~o
0045~p
0125~q
0013~r
0012~s
0002~t
0023~u
0056~v
0035~w
0124~x
0034~y
0134~z
0135~1
0136~2
0145~3
0146~4
0156~5
0234~6
0235~7
0236~8
0245~9
0246~0
0256~.
0345~+
0346~-
0356~/
0456~*
1234~=
1235~(
1236~)
1245~'
1246~;
1256~:
1345~,
1346~!
1356~?
1456~"
2345~^
